SrcIP;DstIP;SrcPort;DstPort;Proto;SNI;OrgName;TLS Version;Client CipherSuite;Client Extensions;Client Supported Groups;EC_fmt;ALPN;Signature Algorithms;Client Supported Versions;JA3hash;JA4 hash;JA4_raw;AppName;Type;Server CipherSuite;Server Extensions;Server Supported Versions;JA3S hash;JA4S hash;JA4S_raw;Filename;Version
131.202.240.150;23.235.44.143;58973;443;6;f.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;23.235.44.143;58974;443;6;f.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;23.235.44.143;58975;443;6;f.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;23.235.44.143;58976;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;23.235.44.143;58977;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;23.235.44.143;58978;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;23.235.44.143;58979;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;23.235.44.143;58980;443;6;i.vimeocdn.com;Fastly, Inc., FASTLY-2;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;0;49199;65281-5;;c6227321ea7621862dc7b7351771a62c;t120200_c02f_eb68c62ea9f4;t120200_c02f_ff01,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;64.233.171.156;37514;443;6;stats.g.doubleclick.net;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;0428c12bc4cb3264a24743d451544648;t12d1811s1_27d4652c4487_06a4338d0495;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;0-65281-11-35-30032-16;;9f5e2e0d84076af5475bbe44debdb03e;t1206h4_c02f_53258dfa7744;t1206h4_c02f_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;64.233.171.95;34994;443;6;fonts.googleapis.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;0428c12bc4cb3264a24743d451544648;t12d1811s1_27d4652c4487_06a4338d0495;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;0-65281-11-35-30032-16;;9f5e2e0d84076af5475bbe44debdb03e;t1206h4_c02f_53258dfa7744;t1206h4_c02f_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;72.21.91.187;58033;443;6;livepassdl.conviva.com;Edgecast Inc., EDGECAST-NETBLK-01;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;0428c12bc4cb3264a24743d451544648;t12d1811s1_27d4652c4487_06a4338d0495;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-11-35-5;;0c0aff9ccea5e7e1de5c3a0069d103f3;t120400_c02f_e1dda4771ae8;t120400_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;72.21.91.187;58034;443;6;livepassdl.conviva.com;Edgecast Inc., EDGECAST-NETBLK-01;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13-21;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;a581216ec2acc27ac2391e7dc2b279ba;t12d1811s1_27d4652c4487_f2efb249ca37;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0015,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-11-35-5;;0c0aff9ccea5e7e1de5c3a0069d103f3;t120400_c02f_e1dda4771ae8;t120400_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;72.21.91.187;58049;443;6;livepassdl.conviva.com;Edgecast Inc., EDGECAST-NETBLK-01;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;45b50439d5e1cfc78a39e410dd10de39;t12d1810s1_27d4652c4487_5bb8d82126a6;t12d1810s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-11-35-5;;0c0aff9ccea5e7e1de5c3a0069d103f3;t120400_c02f_e1dda4771ae8;t120400_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;72.21.91.187;58050;443;6;livepassdl.conviva.com;Edgecast Inc., EDGECAST-NETBLK-01;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;45b50439d5e1cfc78a39e410dd10de39;t12d1810s1_27d4652c4487_5bb8d82126a6;t12d1810s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-11-35-5;;0c0aff9ccea5e7e1de5c3a0069d103f3;t120400_c02f_e1dda4771ae8;t120400_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;72.21.91.187;58051;443;6;livepassdl.conviva.com;Edgecast Inc., EDGECAST-NETBLK-01;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;45b50439d5e1cfc78a39e410dd10de39;t12d1810s1_27d4652c4487_5bb8d82126a6;t12d1810s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-11-35-5;;0c0aff9ccea5e7e1de5c3a0069d103f3;t120400_c02f_e1dda4771ae8;t120400_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;72.21.91.187;58052;443;6;livepassdl.conviva.com;Edgecast Inc., EDGECAST-NETBLK-01;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;45b50439d5e1cfc78a39e410dd10de39;t12d1810s1_27d4652c4487_5bb8d82126a6;t12d1810s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;65281-11-35-5;;0c0aff9ccea5e7e1de5c3a0069d103f3;t120400_c02f_e1dda4771ae8;t120400_c02f_ff01,000b,0023,0005;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;74.125.226.12;44225;443;6;tpc.googlesyndication.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;0428c12bc4cb3264a24743d451544648;t12d1811s1_27d4652c4487_06a4338d0495;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;0-65281-11-35-30032-16;;9f5e2e0d84076af5475bbe44debdb03e;t1206h4_c02f_53258dfa7744;t1206h4_c02f_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
131.202.240.150;74.125.226.26;39410;443;6;www.googletagservices.com;Google LLC, GOOGLE;771;49195-49199-158-49162-49161-49171-49172-49159-49169-51-50-57-156-47-53-10-5-4;0-65281-10-11-35-13172-16-30032-5-18-13;0x0017,0x0018,0x0019;0;spdy/3.1,h2-14,http/1.1;0401,0501,0201,0403,0503,0203,0402,0202;;0428c12bc4cb3264a24743d451544648;t12d1811s1_27d4652c4487_06a4338d0495;t12d1811s1_0004,0005,000a,002f,0032,0033,0035,0039,009c,009e,c007,c009,c00a,c011,c013,c014,c02b,c02f_0005,000a,000b,000d,0012,0023,3374,7550,ff01_0401,0501,0201,0403,0503,0203,0402,0202;vimeo;A;49199;0-65281-11-35-30032-16;;9f5e2e0d84076af5475bbe44debdb03e;t1206h4_c02f_53258dfa7744;t1206h4_c02f_ff01,000b,0023,7550;tests/iscx-vpn-novpn-2016/vimeo1-extracted.csv;0
